,event_code,event_store,event_subject,event_image,event_start,event_end
0,6856,알리익스프레스,최대 6만원 할인,https://img1.kbcard.com/ST/img/cxc/event/logo/240910_aliexpress_Bnr_b.png,2025-05-12,
1,6857,오늘의집,10% 할인,https://img1.kbcard.com/ST/img/cxc/event/logo/250509_onul_b.png,2025-05-12,
2,6801,크림(KREAM),최대 2.5만원 즉시할인,https://img1.kbcard.com/ST/img/cxc/event/logo/KREAM_logo_black(240px).png,2025-05-19,
3,6837,CJ온스타일,7％ 즉시할인,https://img1.kbcard.com/ST/img/cxc/event/logo/0427_cjonstyle_240x240.jpg,2025-05-12,
4,6864,GS25,WADE X FRGMT 굿즈 구매시 할인,https://img1.kbcard.com/ST/img/cxc/event/logo/250502_GS25_b.png,2025-05-22,
5,6863,홈플러스,즉시할인,https://img1.kbcard.com/ST/img/cxc/event/logo/230811_HomeMart_Bnr_b.png,2025-05-01,
6,6843,롯데마트,즉시할인,https://img1.kbcard.com/ST/img/cxc/event/logo/_shop_lottemart_b.png,2025-05-08,
7,6842,컬리,15% 할인,https://img1.kbcard.com/ST/img/cxc/event/logo/240812_Kurly_Bnr_b.png,2025-05-19,
8,6859,NS홈쇼핑,5％ 즉시할인,https://img1.kbcard.com/ST/img/cxc/event/logo/_shop_nshomeshop_b.png,2025-05-01,
9,6800,AK플라자,6개월 무이자 할부,https://img1.kbcard.com/ST/img/cxc/event/logo/__shop_akplaza_b.png,2025-05-01,
10,6848,SAMSUNG.COM,7%/3% 청구할인,https://img1.kbcard.com/ST/img/cxc/event/logo/240426_samsung_Bnr_b.png,2025-05-01,
11,6847,LGE.COM,7%청구할인,https://img1.kbcard.com/ST/img/cxc/event/logo/240426_lg_Bnr_b.png,2025-05-01,
12,6833,W컨셉,KB Pay 4천원 즉시할인,https://img1.kbcard.com/ST/img/cxc/event/logo/_wconcept_b.jpg,2025-05-07,
13,6830,무신사,KB Pay 최대 1.2만원 즉시할인,https://img1.kbcard.com/ST/img/cxc/event/logo/musinsa_b.png,2025-05-01,
14,6798,모두투어,KB Pay결제 최대 5만원 혜택,https://img1.kbcard.com/ST/img/cxc/event/logo/__shop_modetour_b.png,2025-05-01,
15,6852,골프존 온라인몰,즉시할인,https://img1.kbcard.com/ST/img/cxc/event/logo/_shop_golping_b.png,2025-05-12,
16,6862,이마트,즉시할인 및 상품권 증정,https://img1.kbcard.com/ST/img/cxc/event/logo/_shop_emart_b.png,2025-04-25,
17,6851,하이마트 온라인몰,최고 15% 즉시할인,https://img1.kbcard.com/ST/img/cxc/event/logo/_shop_himart_b.png,2025-05-01,
18,6831,29CM,최대 1.2만원 즉시할인,https://img1.kbcard.com/ST/img/cxc/event/logo/29CM_logo_b.png,2025-05-01,
19,6854,11번가,최대 15% 할인,https://img1.kbcard.com/ST/img/cxc/event/logo/_shop_11st_b.png,2025-05-12,
20,6841,트립닷컴,최대 2% 즉시할인,https://img1.kbcard.com/ST/img/cxc/event/logo/241111_Trip_b.png,2025-05-07,
21,6858,쿠팡,최대 20% 할인,https://img1.kbcard.com/ST/img/cxc/event/logo/_shop_coupang_b.png,2025-05-12,
22,6832,LF몰,최대 3만원 즉시할인,https://img1.kbcard.com/ST/img/cxc/event/logo/_shop_lfmall_b.png,2025-05-01,
23,6853,옥션,최대 7% 할인,https://img1.kbcard.com/ST/img/cxc/event/logo/_shop_auction_b.png,2025-05-12,
24,6849,G마켓,최대 7% 할인,https://img1.kbcard.com/ST/img/cxc/event/logo/_shop_gmarket_b.png,2025-05-12,
25,6845,하이마트 오프라인 매장,특정 품목 캐시백,https://img1.kbcard.com/ST/img/cxc/event/logo/_shop_himart_b.png,2025-05-01,
26,6846,LG전자베스트샵,특정품목 캐시백 행사,https://img1.kbcard.com/ST/img/cxc/event/logo/_240426_lg_Bnr_b.png,2025-05-01,
