,event_code,event_subject,event_image,event_start,event_end,event_categories
0,286120,골프칠 때 1만원 아껴봐요!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250421_golf_blue.png,2025-05-22,2025-06-21,"[""캐시백""]"
1,286146,일본 3대 공항 면세점 최대 10% 페이백,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250519_japanDuttyfree_red.png,2025-05-21,2025-08-31,"[""캐시백""]"
2,286080,일본 3대 편의점 최대 50% 페이백,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241108_japancu_red.png,2025-05-21,2025-08-31,"[""캐시백""]"
3,286079,아고다 최대 15% 즉시할인,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250220_agoda_orange.png,2025-05-19,2025-09-30,"[""할인""]"
4,286078,트립닷컴 호텔 20% 즉시할인,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250226_Trip_purple.png,2025-05-19,2025-06-30,"[""할인""]"
5,286063,호텔스닷컴 20% 즉시할인,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250312_hotels.com_purple.png,2025-05-19,2025-06-30,"[""할인""]"
6,285981,트래블러스 체크 신규발급 최대5.5만원+30달러,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250221_travelers_khaki.png,2025-05-19,2025-05-31,"[""캐시백"", ""체크""]"
7,285886,체크신규 X 자동차보험 최대 5+3만원 혜택,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250317_carinsurance_khaki.png,2025-05-19,2025-05-31,"[""체크""]"
8,286076,동네 사람들과 행복을 나누는 축제!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250509_FestaWithSpring_pink.png,2025-05-15,2025-05-31,"[""캐시백""]"
9,286035,캐세이퍼시픽 최대5만& 50HKD+무료이심,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250509_airline_red.png,2025-05-15,2025-06-30,"[""경품""]"
10,285932,"틴업 체크 사전 예약하고 아이패드, 에어팟 캐치!",https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241108_secret_purple.png,2025-05-08,2025-05-28,"[""체크""]"
11,286013,나는 몇 등일까? 응모하고 확인하세요,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241024_500gift_red.png,2025-05-07,2025-05-31,"[""포인트리"", ""경품""]"
12,285792,카드로 캐디피 결제하고 상품권 받으세요,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250410_golf_olive.png,2025-05-02,2025-06-30,"[""경품""]"
13,286041,KB글로벌리스트 VVIP로 모십니다,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/_241129_vip_red.png,2025-05-01,2025-12-31,"[""할인"", ""경품""]"
14,286007,(단독) 마스터카드 알리바바닷컴 최대 20%,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250224_master-alibaba_red.png,2025-05-01,2025-05-31,"[""포인트리""]"
15,286006,(단독) Visa카드 알리바바닷컴 최대 20%,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250224_visa-alibaba_blue.png,2025-05-01,2025-05-31,"[""포인트리""]"
16,285999,May 해외혜택 따져보면 Maybe 최강일지도?,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/___241025_travelusclue_blue.png,2025-05-01,2025-05-31,"[""할인"", ""체크""]"
17,285998,캐롯손해보험 KB국민카드 5만원 캐시백 혜택!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250423_cattot_red.png,2025-05-01,2025-05-31,"[""캐시백""]"
18,285993,"10만 H포인트 받고, 레고랜드 이용권 기회까지",https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250424_hpoint_purple.png,2025-05-01,2025-05-31,"[""캐시백"", ""포인트리""]"
19,285987,밀크T 카드 학습비 할인 + 레고랜드 이용권 혜택,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250430_milkT_mint.png,2025-05-01,2025-05-31,"[""할인""]"
20,285986,이용할수록 커지는 스타샵 최대 1만5천P 추가적립,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250429_K-ShoppingFesta_blue.png,2025-05-01,2025-05-31,"[""포인트리"", ""경품""]"
21,285985,KB국민 사장님 카드 최대 6만원 캐시백,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250424_owner_blue.png,2025-05-01,2025-05-31,"[""캐시백""]"
22,285979,KTX 최대3만원 할인? KB국민 그린카드!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241002_greencard_mint.png,2025-05-01,2025-05-31,"[""캐시백""]"
23,285972,유니온페이로 빅카메라 10% 즉시할인,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241108_UnionPay_red.png,2025-05-01,2025-10-31,"[""경품""]"
24,285961,신차 할부금융 다이렉트 최대 60개월로 빠르게!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250319_newcarLoarn_mint.png,2025-05-01,2025-05-31,"[""할인""]"
25,285959,온라인 신규 발급 고객 연회비 100% 캐시백,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/251031_ONline_blue.png,2025-05-01,2025-05-31,"[""캐시백""]"
26,285951,해외 이용하면 인천공항 무료 식사,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241224_meal_purple.png,2025-05-01,2025-06-30,"[""경품""]"
27,285950,롯데월드 종합이용권 할인 이벤트,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250120_LotteWorld_red.png,2025-05-01,2025-05-31,"[""할인""]"
28,285942,라쿠텐 트래블 상시 8% 즉시할인!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250214_rakuten_olive.png,2025-05-01,2025-12-30,"[""할인""]"
29,285935,신차 살 땐 최대60개월 슬림 할부로 가볍게!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241029_newcar_pupple.png,2025-05-01,2025-05-31,"[""할인""]"
30,285933,현대백화점 최대 3만원 쇼핑 혜택,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250109_HYUNDAI_brown.png,2025-05-01,2025-05-31,"[""할인""]"
31,285931,가정의 달 최대 반값! 체크카드 롯데월드 할인,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/_250422_lotteworld_red.png,2025-05-01,2025-05-31,"[""할인"", ""체크""]"
32,285924,자동차보험 결제하면 모바일 상품권!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241029_car_gift_card_blue.png,2025-05-01,2025-05-31,"[""경품""]"
33,285921,에버랜드 놀이기구 타고 최대 14만원 캐시백!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250408_rides_orange.png,2025-05-01,2025-05-31,"[""캐시백""]"
34,285914,생활편의업종 무이자할부,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250106_life_green.png,2025-05-01,2025-05-31,"[""할인""]"
35,285908,티오더 도입하면 20만원 캐시백,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241230_t-order_purple.png,2025-05-01,2025-05-31,"[""캐시백""]"
36,285892,KB국민 팡팡 체크카드 최대 3만원 캐시백!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250404_pangpang_olive.png,2025-05-01,2025-05-31,"[""캐시백"", ""체크""]"
37,285883,마이펫카드 최대 10만원 캐시백,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250131_mypet_purple.png,2025-05-01,2025-05-31,"[""캐시백""]"
38,285880,KB Pay 첫 만남 기념 커피 쿠폰 받기,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250428_kbpay_pink.png,2025-05-01,2025-05-31,"[""경품""]"
39,285879,체크카드 신규 발급하면 최대 5만원 캐시백!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/_250131_toshimee_olive.png,2025-05-01,2025-05-31,"[""캐시백"", ""체크""]"
40,285866,쿠쿠렌탈Ⅱ카드 추가 청구할인!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250131_cuckoo_blue.png,2025-05-01,2025-05-31,"[""할인"", ""캐시백""]"
41,285865,코웨이Ⅱ카드 자동납부 최대 36만원 추가할인!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250131_coway_mint.png,2025-05-01,2025-05-31,"[""할인""]"
42,285848,CU 최대50% 할인카드 7만원 캐시백 혜택,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250131_cu_olive.png,2025-05-01,2025-05-31,"[""캐시백""]"
43,285845,스카이패스 티타늄카드 5천 마일리지 특별적립!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250417_skypass_blue.png,2025-05-01,2025-05-31,"[""할인"", ""포인트리""]"
44,285841,최대 45% 꽃길 할인 에버랜드 장미축제,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250422_Everland_pink.png,2025-05-01,2025-06-30,"[""할인""]"
