,card_name,card_code,card_url,card_img
0,롯데체크카드,C00041-A00041,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=C00041-A00041,//image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoC00041-A00041_nm1.png
1,롯데포인트 플러스 체크카드,C00284-A00284,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=C00284-A00284,//image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoC00284-A00284_nm1.png
2,I♥Busan 체크카드,C00361-A00361,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=C00361-A00361,//image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoC00361-A00361_nm1.png
3,롯데 비즈니스 체크 카드,C01261-A01261,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=C01261-A01261,//image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoC01261-A01261_nm1.png
4,SUPER PLUS 체크카드,C01278-A01278,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=C01278-A01278,//image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoC01278-A01278_nm1.png
5,롯데체크카드VISA,C02577-A02577,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=C02577-A02577,//image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoC02577-A02577_nm1.png
6,롯데 체크플러스 카드,C02860-A02860,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=C02860-A02860,//image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoC02860-A02860_nm1.png
7,위클리 체크카드,C10343-A10343,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=C10343-A10343,//image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoC10343-A10343_nm1.png
8,위클리 VISA 롯데체크카드,C10343-B10347,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=C10343-B10347,//image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoC10343-B10347_nm1.png
9,롯데 체크카드 은련(UPI),C00041-B10442,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=C00041-B10442,//image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoC00041-B10442_nm1.png
10,롯데 포인트플러스 체크카드 은련 (UPI),C00284-B10455,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=C00284-B10455,//image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoC00284-B10455_nm1.png
11,위클리 체크카드 은련,C10343-B10576,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=C10343-B10576,//image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoC10343-B10576_nm1.png
12,LIKIT fun 체크플러스 카드,C12758-A12758,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=C12758-A12758,//image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoC12758-A12758_nm1.png
13,LIKIT fun 체크카드,C12794-A12794,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=C12794-A12794,//image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoC12794-A12794_nm1.png
14,롯데체크카드,C00041-B13358,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=C00041-B13358,//image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoC00041-B13358_nm1.png
15,LIKIT on 체크플러스 카드,C12846-A12846,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=C12846-A12846,//image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoC12846-A12846_nm1.png
16,LIKIT on 체크카드,C12833-A12833,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=C12833-A12833,//image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoC12833-A12833_nm1.png
17,LIKIT all 체크플러스 카드,C12807-A12807,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=C12807-A12807,//image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoC12807-A12807_nm1.png
18,롯데 국민행복 체크카드,C10991-A10991,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=C10991-A10991,//image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoC10991-A10991_nm1.png
19,LIKIT all 체크카드,C12667-A12667,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=C12667-A12667,//image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoC12667-A12667_nm1.png
20,쉐보레오토 체크카드,C00521-A00521,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=C00521-A00521,//image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoC00521-A00521_nm1.png
21,SKYPASS롯데 플래티넘 체크카드,C00548-A00548,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=C00548-A00548,//image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoC00548-A00548_nm1.png
22,뉴롯데시네마 롯데체크카드,C10482-A10482,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=C10482-A10482,//image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoC10482-A10482_nm1.png
23,AIA생명 롯데 리얼체크카드,C11048-A11048,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=C11048-A11048,//image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoC11048-A11048_nm1.png
24,경차 smart 롯데체크카드,C11885-A11885,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=C11885-A11885,//image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoC11885-A11885_nm1.png
