,event_code,event_subject,event_image,event_start,event_end
0,3701419,AI 구독 5천원 혜택! AI 구독도 삼성카드,https://static11.samsungcard.com/wcms/event/general_v2/__icsFiles/afieldfile/2025/05/22/M_thumb_320x320_4.png,2025-05-22,2025-06-30
1,3701399,깜빡하면 끝 타임 리미트,https://static11.samsungcard.com/wcms/event/general_v2/__icsFiles/afieldfile/2025/05/20/M_thumb_320x320_2.png,2025-05-22,2025-05-31
2,3701100,롯데마트 제타 단 4일간의 할인 찬스,https://static11.samsungcard.com/wcms/event/general_v2/__icsFiles/afieldfile/2025/05/19/M_thumb_320x320_2.png,2025-05-22,2025-05-25
3,3700719,숙박 최대 10% 할인 편하게 제대로 비교!,https://static11.samsungcard.com/wcms/event/general_v2/__icsFiles/afieldfile/2025/05/15/M_thumb_320x320_2.png,2025-05-20,2025-08-31
4,3697197,DINING WEEK 특급 호텔 뷔페 50%,https://static11.samsungcard.com/wcms/event/general_v2/__icsFiles/afieldfile/2025/05/15/M_thumb_320x320.png,2025-05-20,2025-06-15
5,3701168,잠깐 5월의 타임어택,https://static11.samsungcard.com/wcms/event/general_v2/__icsFiles/afieldfile/2025/05/20/M_thumb_320x320.png,2025-05-20,2025-05-31
6,3699879,얼리버드 여름가전 최대 84% 할인+추가 혜택,https://static11.samsungcard.com/wcms/event/general_v2/__icsFiles/afieldfile/2025/05/19/M_thumb_320x320.png,2025-05-16,2025-05-31
7,3700609,중복할인을 곁들인 진에어 1만원 할인,https://static11.samsungcard.com/wcms/event/general_v2/__icsFiles/afieldfile/2025/05/15/M_thumb_320x320_1.png,2025-05-15,2025-05-31
8,3698525,신세계 앱 출석하면 할인쿠폰이 펑펑,https://static11.samsungcard.com/wcms/event/general_v2/__icsFiles/afieldfile/2025/05/12/M_thumb_320x320_4.png,2025-05-15,2025-05-27
9,3700487,서.프.라.이.즈. 5월의 혜택,https://static11.samsungcard.com/wcms/event/general_v2/__icsFiles/afieldfile/2025/05/13/M_thumb_320x320_4.png,2025-05-14,2025-05-31
10,3693508,"할인, 추가 혜택 모두! 모두투어 해외여행",https://static11.samsungcard.com/wcms/event/general_v2/__icsFiles/afieldfile/2025/05/21/M_thumb_320x320.png,2025-05-12,2025-06-30
11,3692700,한진관광 여행패키지 할인 100만원당 최대 7만원!,https://static11.samsungcard.com/wcms/event/general_v2/__icsFiles/afieldfile/2025/05/16/M_thumb_320x320_2.png,2025-05-12,2025-06-30
