,card_name,card_url,card_img
0,신한카드 Discount Plan,1232369_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditPODDR1s.png
1,신한카드 Discount Plan+,1232390_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditPOEDR2s.png
2,신한카드 Point Plan+,1228407_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditPOCDMGs.gif
3,신한카드 Point Plan,1226113_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditPOADHLs.gif
4,알리익스프레스 신한카드,1231466_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditBOADP9s.gif
5,신한카드 SOL트래블,1227751_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditBUCDKHs.gif
6,신한카드 처음 ANNIVERSE,1229296_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditBSCDNGs.gif
7,신한카드 처음,1227020_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditBSCDJKs.gif
8,신한카드 Point Plan(산리오캐릭터즈),1231784_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditPOADPQs.png
9,신한카드 The PET,1228839_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditBLCDMHs_1.png
10,신한카드 Edu Plan+,1228598_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditBDBDMAs.gif
11,신한카드 Biz Plan,1230483_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditBHCDO6s.png
12,신한카드 봄,1221135_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditAQDD6Ns.gif
13,신한카드 Globus,1221213_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditBUAD6Js.gif
14,신한카드 플리,1216829_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditPLACXPs.png
15,신한카드 플리(산리오캐릭터즈),1220329_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditPLAD43s.png
16,신한카드 핏(Fit),1218726_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditAXKD2Bs.png
